reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
abe39fc5-f518-4271-82ad-22d7bc189315,"Fantastic app! It's so easy to use, and I rarely have issues with the app itself. Ordering online is so easy. And if there's ever an issue, refunds are a breeze. I just wish I could choose which list favorite items go to. I like that when I am in the store, I can look up an item, and it will tell me what aisle the item is in. No need to search for an employee!",4,153,1722395439000,We value our customers review. Please provide us with more info at https://survey.walmart.com/app,1722473249000,Walmart
39f4ad11-34e1-401a-a93a-5fa98e98393e,"Walmart Pay was finally going to be helpful. I occasionally need a physical receipt. Then, the other day, I got one with just using Walmart pay. When it kept happening, I was thrilled thinking this was a permanent option. Having both a physical and digital receipt. I'd never have to worry about needing a physical receipt again. Then, they erased the feature, not long after. Now, when I need a physical receipt, I have to remember to dig out my credit card. I want that feature back!",3,18,1723259261000,"Madison, we understand how crucial it is to manage your receipts effectively, and we value your input. Please share them with us here: https://survey.walmart.com/app",1723259530000,Walmart
30ad935c-da9d-4b61-9eaa-428bd0392967,"I've been using this app for years and it has major issues. With all the money Walmart has, they can't hire someone to fix it? Some items are obviously WAY overpriced, and clearly it's an error. Items are often listed as in stock, but they are not; and some shipping items never arrive, because they claim the item is delayed, but they often don't tell you that your order was actually canceled. I really appreciate being able to order online, but Walmart needs to fix these issues.",3,68,1722433575000,"We understand the frustration with app issues, incorrect pricing, and order inconsistencies. Your concerns are important to us, and we're committed to improving the app and ensuring accurate information and reliable delivery. Please tell us more details at https://www.walmart.com/help",1722446574000,Walmart
360e62e4-7dc7-4069-bb35-0ba9dc581b96,"apps design is pretty good. But I can't give 5 stars because of its seriously annoying technical issues. It starts to stutter after using it for only a few minutes and will eventually lock up forcing me to restart the app. It's not just a problem on my phone, I've had it happen on several others now. It has had this problem for a long time too, I really wish they'd figure out a solution!",3,11,1723208146000,We’re glad you like the app’s design but understand your frustration with the technical issues. Please share more info with us at https://www.walmart.com/help for assistance.,1723210535000,Walmart
e9eca83d-26ee-44be-8047-d097234bca01,"The main feature I use on this app gives me the most problems. I've said this before and I'll say it again. The 'list' feature used to be so nice some years back, but now it glitches when you're just scrolling through or try to remove an item. It would also be nice if they brought back the ability to drag items to adjust the order you want them in. It used to be so nice to be able to add things to my list throughout the week, then just drag them into the order according to aisle numbers.",3,9,1723243130000,"Your input is valuable to us. To get this looked into further, please add additional details at: https://survey.walmart.com/app",1723248612000,Walmart
df522eff-eaa7-4b0d-8883-ce46dcb38742,"Scan and Go was a complete waste of my time. I thought it was like the Sam's Club version where the entire checkout is on your phone. So, when I scanned my items to check out, I then had to go find an open register. Then the register called for associate assistance. When I flagged one down, she had no idea what she was supposed to do, so left to find another associate. At this point, I was frustrated, so abandoned my items and left. It would have been faster to scan with the register.",2,28,1722582426000,"Thanks, Brad, for sharing your experience with us. We’re sorry you’ve had issues while using the Walmart app. Please provide us with more info at https://survey.walmart.com/app",1695336407000,Walmart
bb4000b3-b9d6-41ca-8e42-4dd69d9b0588,"This has happened to me twice now: I set an appointment through the app to get my oil changed, drive down to the store, wait in line to get checked in, only to find out that they don't have the right oil filter for my car. This seems like an easy thing to check when you check in. Edit: went to that website, couldn't find option for ""stop app from wasting people's time"".",1,13,1722402079000,Thank you for sharing your experience. Please contact us at walmart.com/help so we can resolve this issue promptly.,1722399094000,Walmart
9dc2d957-2440-4b23-b3ee-c0903f32e373,"The app is convenient for pickups and online shopping, however you could have the absolute best internet connection in the world and the app still will not load and say there's no internet connection. Every single time. It's super frustrating when you have numerous things to do and don't have time to run into the store to grab what you need and you can't rely on the app to do a pick up order.",1,15,1722893684000,"We’re here for you. Please reach out at https://www.walmart.com/help, so we can help resolve this.",1722896911000,Walmart
8feea274-e29b-4ed8-902a-3a2c0c4df950,App is inconsistent. Doesn't matter what I'm searching for I'm not always allowed to filter my search. I want a filter every search I do but it is a crapshoot whether I am able to even filter anything or if I have to go through Page after page after page of products to try and find what I want. You would think with how much money Walmart has to put towards its competition with Amazon online they were able to at least get the app right.,1,21,1722564209000,Your insights are crucial for our continuous improvement. Please reach out to https://survey.walmart.com/app with more details.,1722564785000,Walmart
e7ea580f-0443-45b5-9683-f05fe149ffb9,"has been very slow, flips to other screens, search very hard to do. Happens during shopping can not recreate for developer to see app is usually pretty fast. No worries. Leaving my review as is, need to understand, if item states shipping arrives 3days, and when I go to pay states arrives Aug 22nd, what happened, I personnelly have not uncountered this before, always matched. Could not find a way to notify Walmart directly with this. Needed this product by Monday. Tuesday latest.",3,11,1722702162000,We'd like to look into this for you. Please contact us at walmart.com/help,1722644255000,Walmart
